Which genres of video games do you most often play? Tick all that apply.,"On average, how many hours of video games do you play every week? (Please enter a whole, numeric value.)",What is your gender?,"Rate the following statement: ""Video games make me happy.""","Rate the following statement: ""I think video games are beneficial to me.""","Rate the following statement: ""Sometimes, video games negatively affect my mood and can make me violent at times.""","Rate the following statement: ""Video games have negatively affected my relationships, including my friends, family, and loved ones.""","Rate the following statement: ""Video games have improved my cognitive abilities or have made me smarter.""",Why do you play video games? (Tick all that apply.),"What is your GPA? Please enter a floating point value between 0-4. (This will be confidential. If you are no longer in school, please enter your last GPA.)"
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Role-Playing Games;Simulation;Sports",20,Male,5,7,8,6,9,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends,3
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Role-Playing Games;Simulation;Sports;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",28,Male,9,8,3,8,10,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose,2.9
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Role-Playing Games;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",15,Male,9,8,4,2,9,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I play with my friends,3.2
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Simulation;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",20,Male,9,7,3,1,8,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose;I'm very good at them and can play at a competitive level,3.167
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Role-Playing Games;Simulation;Sports",18,Male,9,7,3,1,8,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose;I'm very good at them and can play at a competitive level,3.2
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op",16,Male,9,7,5,3,10,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I play with my friends,3.2
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Role-Playing Games;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",15,Male,7,8,3,4,8,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose;I'm very good at them and can play at a competitive level,3
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Simulation;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",14,Male,7,8,2,1,9,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose;I'm very good at them and can play at a competitive level,2.5
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Role-Playing Games",12,Male,9,7,3,1,10,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose;I'm very good at them and can play at a competitive level,3.7
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure",11,Male,8,7,1,1,10,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose;I'm very good at them and can play at a competitive level,3.4
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Role-Playing Games;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",19,Female,9,8,3,2,10,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose;I'm very good at them and can play at a competitive level,4
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Simulation;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",28,Male,9,9,7,1,10,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends,4
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure",24,Male,8,7,3,2,10,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose,2.3
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Role-Playing Games;Simulation;Sports;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",25,Male,9,7,3,6,8,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose,3.2
"Action (platformers, shooting, fighting, stealth, survival, etc.);Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",8,Male,9,7,4,1,8,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose,3.1
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Simulation;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",30,Male,5,8,4,2,8,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose,3.7
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Simulation;Sports",19,Male,9,7,3,3,8,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose;I'm very good at them and can play at a competitive level,3.2
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Role-Playing Games;Simulation;Sports;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",6,Male,9,6,1,3,5,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose;I'm very good at them and can play at a competitive level,3
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Role-Playing Games;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",8,Male,9,7,1,1,9,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them,3.6
"Action (platformers, shooting, fighting, stealth, survival, etc.);Multiplayer/Co-op;Simulation;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",18,Female,6,6,1,1,8,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends,3.2
"Action (platformers, shooting, fighting, stealth, survival, etc.)",15,Female,9,7,2,2,7,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose;I'm very good at them and can play at a competitive level,3.5
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op;Role-Playing Games;Simulation",21,Male,7,7,1,2,8,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends,4
"Multiplayer/Co-op;Role-Playing Games;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",20,Male,9,8,3,4,10,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose;I'm very good at them and can play at a competitive level,3.2
"Action (platformers, shooting, fighting, stealth, survival, etc.);Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",17,Male,8,7,3,3,8,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me;I enjoy them;I like to make new friends online;I play with my friends;It gives me a purpose;,3.1
"Action (platformers, shooting, fighting, stealth, survival, etc.);Adventure;Multiplayer/Co-op",8,Male,9,9,4,8,9,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me,3.2
"Action (platformers, shooting, fighting, stealth, survival, etc.);Simulation;Sports;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",10,Male,9,9,3,1,8,I'm lonely;I'm bored/I have nothing better to do;It calms/relaxes me,2.5
"Multiplayer/Co-op;Role-Playing Games;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",16,Male,9,7,5,2,9,I'm lonely;I'm bored/I have nothing better to do,4
"Adventure;Multiplayer/Co-op;Simulation;Strategy (4X, MOBA, RTS, TBT/TBS, etc.)",20,Male,9,7,3,3,8,I'm lonely;I'm bored/I have nothing better to do,3.2
"Action (platformers, shooting, fighting, stealth, survival, etc.);Sports",13,Female,7,6,1,1,10,I'm lonely;I'm bored/I have nothing better to do;I'm very good at them and can play at a competitive level,4
